"State","Latitude, Longitude","Distance to census' geographic center (in miles)","Location of geographic center","Location of the USGS geographic center","Alternative description of location of new center"
"(1)","(2)","(3)","(4)","(5)","(6)"
"Alabama","32.7784, 86.8290","2.61","12.1 mi SW of Clanton","12 mi SW of Clanton","2.6 mi E of Maplesville"
"Alaska","64.0610, 152.2307","48.31","77.1 mi NW of Mt. McKinley","63.8333N 152.0000W; 60 mi NW of Mt. McKinley"
"Arizona","34.2740, 111.6582","0.15","49.7 mi ESE of Prescott","55 mi ESE of Prescott","13.8 mi SW of Pine"
"Arkansas","34.8938, 92.4429","0.02","14.2 mi NW of Little Rock","12 mi NW of Little Rock","1.3 mi NW of Maumelle"
"California","37.1992, 119.4505","5.24","37.4 mi NE of Madera","38 mi E of Madera","4.3 mi SE of North Fork"
"Colorado","38.9979, 105.5495","0.09","29.1 mi NW of Pikes Peak","30 mi NW of Pikes Peak","13.5 mi E of Hartsel"
"Connecticut","41.6220, 72.7272","3.3","1.1 mi E of Berlin","at East Berlin","—"
"Delaware","38.9895, 75.5051","2.89","11.7 mi S of Dover","11 mi S of Dover","2.5 mi SW of Frederica"
"DC","38.9101, 77.0147","0.38","Near 3rd St. and P St., NW","Near 4th St. and L St., NW","—"
"Florida","28.6282, 82.4426","11.63","5.8 mi NW of Brooksville","12 mi NNW of Brookille","—"
"Georgia","32.6405, 83.4418","1.71","17.7 mi SE of Macon","18 mi SW of Macon","6.2 mi SW of Jeffersonville"
"Hawaii","20.2951, 156.3720","116.95","27.7 mi S of Wailea-Makena","20.25, 156.3333 off Maui","(4.0 mi apart)"
"Idaho","44.3538, 114.6086","0.26","21.4 mi WSW of Challis;","At Custer, 24 mi SW of Challis"," "
"Illinois","40.0411, 89.1965","4.78","28.8 mi NE of Springfield","28 mi NE of Springfield","5.3 mi NE of Mt. Pulaski"
"Indiana","39.8938, 86.2818","0.89","10.8 mi NW of Indianapolis","14 mi NNW of Indianapolis","4.0 mi S of Zionsville"
"Iowa","42.0753, 93.4959","0.01","7.0 mi NE of Ames","5 mi NE of Ames","—"
"Kansas","38.4949, 98.3801","0.11","22.6 mi NE of Great Bend","15 mi NE of Great Bend","0.8 mi SE of Bushton"
"Kentucky","37.5360, 85.3021","0.06","3.4 mi SW of Lebanon","3 mi NNW of Lebanon","—"
"Louisiana","31.0689, 91.9952","16.35","5.8 mi SE of Marksville","3 mi SE of Marksville","3.3 mi E of Mansura"
"Maine","45.3702, 69.2438","7.67","12.6 mi N of Dover","18 mi N of Dover","10.9 mi NW of Brownville"
"Maryland","39.0550, 76.7909","9.6","12.6 mi NW of Davidsonville","4.5 mi NW of Davidsonville","3.6 mi ESE of South Laurel"
"Massachusetts","42.2596, 71.8083","17.26","Irving St. and Wellington St., Worcester (in northern part of Worcester)","North part of city of Worcester"," "
"Michigan","44.3461, 85.4114","36.17","6.6 mi N of Cadillac","5 mi NNW of Cadillac","4.5 mi S of Manton"
"Minnesota","46.2810, 94.3046","5.63","7.3 mi SW of Brainerd","10 mi SW of Brainerd","5.0 mi S of Baxter"
"Mississippi","32.7351, 89.6680","2.7","7.7 mi W of Carthage","9 mi NNW of Carthage","—"
"Missouri","38.3568, 92.4571","0.06","21 mi SW of Jefferson City","20 mi SW of Jefferson City","6.9 mi E of Eldon"
"Montana","47.0527, 109.645","0.57","10.1 mi W of Lewiston","12 mi W of Lewiston","5.9 mi NE of Moore"
"Nebraska","41.5392, 99.7968","0.12","12.4 NW of Broken Bow","10 mi NW of Broken Bow","4.2 mi NNW of Merna"
"Nevada","39.3306, 116.6268","0.26","26.0 mi SE of Austin","26 mi SE of Austin","—"
"New Hampshire","43.6805, 71.5818","0.6","2.6 mi E of Ashland","3 mi E of Ashland","—"
"New Jersey","40.1907, 74.6733","5.97","4.3 mi SE of Trenton","5 mi SE of Trenton","—"
"New Mexico","34.4066, 106.1128","0.07","13.8 mi SSW of Willard","12 mi SSW of Willard","—"
"New York","42.9543, 75.5262","4.18","11.5 mi SSE of Oneida","6 mi SSE of Oneida","—"
"North Carolina","35.5579, 79.3856","14.4","12.7 mi NW of Sanford","10 mi NW of Sanford","4.0 mi SW of Goldston"
"North Dakota","47.4499, 100.4674","0.07","2.7 mi SW of McClusky","5 mi SW of McClusky","—"
"Ohio","40.2863, 82.7938","9.43","24.9 mi NNE of Columbus","25 mi NNE of Columbus","—"
"Oklahoma","35.5910, 97.4943","0.17","4.4 mi S of Edmond","8 mi N of Oklahoma City","—"
"Oregon","43.9336, 120.5617","2.48","29.1 mi SE of Prineville","25 mi SSE of Prineville","—"
"Pennsylvania","40.8786, 77.7985","2.53","2.6 mi SW of Bellefonte","2.5 mi SW of Bellefonte","—"
"Rhode Island","41.6762, 71.5562","5.9","2.4 mi W of Crompton","1 mi SSW of Crompton","—"
"South Carolina","33.9169, 80.8957","3.55","9.7 mi SE of Columbia","13 mi SE of Columbia","1.3 mi NW of Hopkins"
"South Dakota","44.4446, 100.2282","0.06","7.9 mi NE of Pierre","8 mi NE of Pierre","—"
"Tennessee","35.8605, 86.3504","0.17","2.5 mi NE of Murfreesboro","5 mi NE of Murfreesboro","—"
"Texas","31.4789, 99.3287","4.23","23.7 mi N of Brady","15 mi NE of Brady","—"
"Utah","39.3057, 111.6685","0.1","3.1 mi NW of Manti","3 mi N of Manti","—"
"Vermont","44.0688, 72.6663","0.05","3.7 mi SE of Roxbury","3 mi E of Roxbury","—"
"Virginia","37.5229, 78.8531","9.7","16.6 mi W of Buckingham","5 mi SW of Buckingham","1.6 mi S of Gladstone"
" "," "," ","11.7 mi E of Amherst","11 mi SE of Amherst; based on 1930 USGS report"
"Washington","47.3822, 120.4505","7.13","7 mi SW of Wenatchee","10 mi WSW of Wenatchee","—"
"West Virginia","38.6409, 80.6230","0.03","4.9 mi ESE of Sutton","4 mi E of Sutton","—"
"Wisconsin","44.6243, 89.9941","13.96","9.3 mi ESE of Marshfield","9 mi SE of Marshfield","1 mi E of Auburndale"
"Wyoming","42.9959, 107.5527","0.06","60.6 mi ENE of Lander","58 mi ENE of Lander","42.3 mi E of Riverton"